date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2012-12-01,12.69,12.46,12.57,14696.42,184860.98,12.56,direct,
2012-12-02,12.68,12.43,12.56,14011.93,176013.47,12.5,direct,
2012-12-03,12.68,12.48,12.5,26759.6,336294.7,12.68,direct,
2012-12-04,13.5,12.62,12.68,63245.72,823838.19,13.41,direct,
2012-12-05,13.42,13.15,13.41,29794.93,395716.07,13.38,direct,
2012-12-06,13.69,12.9,13.38,46562.54,623136.59,13.3,direct,
2012-12-07,13.55,12.98,13.3,32799.57,437726.61,13.5,direct,
2012-12-08,13.55,13.35,13.5,13171.51,177338.38,13.42,direct,
2012-12-09,13.53,13.02,13.42,28166.62,372655.91,13.39,direct,
2012-12-10,13.55,13.27,13.39,24664.9,331115.25,13.43,direct,
2012-12-11,13.67,13.3,13.43,28045.88,378671.69,13.56,direct,
2012-12-12,13.8,13.3,13.56,37679.23,512418.01,13.7,direct,
2012-12-13,13.8,13.47,13.7,24197.68,331480.86,13.7,direct,
2012-12-14,13.9,13.0,13.7,70143.98,951046.01,13.6,direct,
2012-12-15,13.64,13.44,13.6,15187.66,205671.39,13.49,direct,
2012-12-16,13.67,13.13,13.49,42760.55,570895.78,13.3,direct,
2012-12-17,13.49,12.75,13.3,63631.25,839092.63,13.25,direct,
2012-12-18,13.4,13.11,13.25,23220.51,307326.85,13.3,direct,
2012-12-19,13.6,13.2,13.3,38807.1,520163.02,13.6,direct,
2012-12-20,13.72,13.33,13.6,32980.36,446364.01,13.56,direct,
2012-12-21,13.6,13.42,13.56,25330.45,342557.95,13.5,direct,
2012-12-22,13.59,13.32,13.5,14783.4,198463.8,13.37,direct,
2012-12-23,13.47,13.01,13.37,23978.22,316965.89,13.31,direct,
2012-12-24,13.45,13.21,13.31,16692.15,223315.17,13.38,direct,
2012-12-25,13.43,13.14,13.38,13165.69,175265.29,13.35,direct,
2012-12-26,13.47,13.2,13.35,15840.13,211349.14,13.47,direct,
2012-12-27,13.47,13.25,13.47,19822.05,265311.8,13.42,direct,
2012-12-28,13.65,13.34,13.42,23813.01,320223.37,13.5,direct,
2012-12-29,13.67,13.27,13.5,26149.14,352722.29,13.4,direct,
2012-12-30,13.59,13.35,13.4,11764.2,158277.2,13.45,direct,
2012-12-31,13.56,13.37,13.45,15049.79,202798.91,13.51,direct,
2013-01-01,13.56,13.16,13.51,28406.21,378879.35,13.3,direct,
2013-01-02,13.4,13.16,13.3,17966.81,239156.18,13.28,direct,
