date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-04-01,3481.39,3214.41,3282.78,341191.37,1146333667.69,3455.72,direct,
2022-04-02,3531.17,3435.63,3455.72,223141.3,777202927.2,3444.68,direct,
2022-04-03,3580.76,3414.24,3444.68,173032.36,605819080.56,3522.49,direct,
2022-04-04,3546.88,3408.47,3522.49,257607.25,896630079.47,3520.15,direct,
2022-04-05,3553.56,3397.01,3520.15,279510.77,972367292.53,3406.48,direct,
2022-04-06,3407.48,3162.57,3406.48,485056.81,1587365720.77,3168.91,direct,
2022-04-07,3269.19,3143.89,3168.91,260468.32,836302734.24,3229.28,direct,
2022-04-08,3313.28,3174.37,3229.28,227087.37,738712527.46,3192.92,direct,
2022-04-09,3268.83,3183.1,3192.92,91610.23,295003082.23,3259.62,direct,
2022-04-10,3308.86,3191.99,3259.62,120410.14,391825529.05,3202.89,direct,
2022-04-11,3214.49,2950.95,3202.89,403463.25,1233562295.37,2979.52,direct,
2022-04-12,3086.55,2951.54,2979.52,314585.59,950255189.07,3028.77,direct,
2022-04-13,3129.24,2997.92,3028.77,228501.62,701662998.64,3118.5,direct,
2022-04-14,3144.41,2976.71,3118.5,209785.23,640639970.5,3021.76,direct,
2022-04-15,3058.39,2994.32,3021.76,112527.6,340633128.58,3041.21,direct,
2022-04-16,3086.29,3011.45,3041.21,71416.98,217214977.29,3060.28,direct,
2022-04-17,3082.05,2982.78,3060.28,107492.8,327041532.39,2988.4,direct,
2022-04-18,3070.29,2883.58,2988.4,279489.32,827696634.5,3056.2,direct,
2022-04-19,3131.65,3030.72,3056.2,191668.54,590853605.85,3102.52,direct,
2022-04-20,3167.34,3036.35,3102.52,221851.43,686897462.05,3077.74,direct,
2022-04-21,3179.21,2943.42,3077.74,270698.7,833558465.56,2984.24,direct,
2022-04-22,3033.2,2933.76,2984.24,218762.93,652250110.96,2963.17,direct,
2022-04-23,2979.17,2917.56,2963.17,86821.69,256592711.6,2933.65,direct,
2022-04-24,2967.57,2912.94,2933.65,84600.84,248805776.03,2922.37,direct,
2022-04-25,3026.15,2798.58,2922.37,375642.45,1088856116.93,3006.45,direct,
2022-04-26,3037.19,2768.64,3006.45,320227.74,927820742.34,2809.6,direct,
2022-04-27,2919.74,2795.23,2809.6,274649.23,787100076.86,2889.72,direct,
2022-04-28,2979.81,2855.11,2889.72,266540.51,778080070.18,2936.49,direct,
2022-04-29,2945.97,2776.18,2936.49,295430.37,844702667.04,2817.23,direct,
2022-04-30,2841.57,2717.75,2817.23,143031.78,399317728.28,2726.98,direct,
2022-05-01,2848.48,2717.45,2726.98,147819.9,411197825.48,2826.04,direct,
2022-05-02,2882.32,2777.75,2826.04,306241.97,866626990.45,2856.12,direct,
2022-05-03,2861.43,2754.39,2856.12,228558.02,643426033.63,2780.63,direct,
2022-05-04,2967.75,2770.84,2780.63,288993.54,830683889.51,2940.31,direct,
2022-05-05,2953.25,2691.89,2940.31,323467.94,905660794.97,2747.28,direct,
2022-05-06,2757.11,2633.94,2747.28,321766.12,867130443.62,2692.08,direct,
2022-05-07,2703.39,2589.82,2692.08,135380.98,359893218.95,2635.19,direct,
2022-05-08,2641.2,2486.56,2635.19,272074.71,692511713.12,2519.08,direct,
2022-05-09,2529.04,2224.84,2519.08,811474.42,1914870712.98,2230.95,direct,
2022-05-10,2457.17,2200.52,2230.95,787320.27,1850298109.21,2341.58,direct,
2022-05-11,2450.75,2003.31,2341.58,1217185.95,2717512970.57,2077.83,direct,
2022-05-12,2180.84,1713.99,2077.83,1433452.88,2753038207.64,1952.81,direct,
2022-05-13,2143.61,1936.1,1952.81,601021.71,1245554884.57,2006.51,direct,
2022-05-14,2066.02,1947.83,2006.51,210414.85,423017629.17,2054.03,direct,
2022-05-15,2160.61,1998.56,2054.03,180949.41,376701151.43,2143.12,direct,
2022-05-16,2143.2,1977.84,2143.12,339798.7,690038743.39,2020.12,direct,
2022-05-17,2119.84,2006.05,2020.12,289699.47,598230196.42,2089.29,direct,
2022-05-18,2108.35,1906.04,2089.29,323098.77,643148242.33,1911.68,direct,
2022-05-19,2038.92,1900.91,1911.68,365441.42,721565109.35,2017.78,direct,
2022-05-20,2061.81,1920.61,2017.78,340775.86,676297509.57,1956.88,direct,
