date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2019-12-01,152.94,148.04,152.04,2329309.65,352262433.35,151.23,multiply,BTC
2019-12-02,150.59,147.81,151.23,1856390.8,276974913.02,149.2,multiply,BTC
2019-12-03,150.66,147.22,149.2,1597602.09,235905745.43,147.66,multiply,BTC
2019-12-04,146.82,141.2,147.66,2301620.42,335275283.08,145.67,multiply,BTC
2019-12-05,150.73,146.73,145.67,2095347.31,310859865.18,148.36,multiply,BTC
2019-12-06,153.06,148.75,148.36,2023506.98,301614232.75,149.06,multiply,BTC
2019-12-07,148.87,146.31,149.06,1916952.96,282782578.16,147.52,multiply,BTC
2019-12-08,151.55,147.85,147.52,2035050.22,307180236.24,150.94,multiply,BTC
2019-12-09,148.56,145.47,150.94,2460246.3,362952616.65,147.53,multiply,BTC
2019-12-10,146.34,143.66,147.53,2622062.84,382196798.55,145.76,multiply,BTC
2019-12-11,146.33,142.65,145.76,1698774.16,243561335.45,143.37,multiply,BTC
2019-12-12,145.21,141.32,143.37,1370822.53,198566010.61,144.85,multiply,BTC
2019-12-13,146.32,143.71,144.85,1260895.58,182667599.49,144.87,multiply,BTC
2019-12-14,142.6,139.98,144.87,1089691.78,154769596.29,142.03,multiply,BTC
2019-12-15,143.72,141.79,142.03,1074097.58,153294265.6,142.72,multiply,BTC
2019-12-16,138.57,130.5,142.72,2288010.43,304103010.61,132.91,multiply,BTC
2019-12-17,128.2,121.04,132.91,2372137.92,289951572.14,122.23,multiply,BTC
2019-12-18,137.06,131.67,122.23,3030302.69,403409568.33,133.13,multiply,BTC
2019-12-19,131.23,125.86,133.13,1979782.32,253852334.83,128.22,multiply,BTC
2019-12-20,129.45,127.72,128.22,1172652.48,150611732.4,128.44,multiply,BTC
2019-12-21,128.3,126.94,128.44,1073799.3,136843442.96,127.44,multiply,BTC
2019-12-22,136.44,132.23,127.44,1914929.41,253363176.6,132.31,multiply,BTC
2019-12-23,130.19,126.31,132.31,2530152.22,323848609.57,128.0,multiply,BTC
2019-12-24,128.95,126.05,128.0,1917134.36,245133666.21,127.86,multiply,BTC
2019-12-25,126.91,123.81,127.86,1935398.76,241861348.44,124.97,multiply,BTC
2019-12-26,128.43,124.4,124.97,2025008.52,254385658.57,125.62,multiply,BTC
2019-12-27,127.09,125.13,125.62,2117705.95,267596594.43,126.36,multiply,BTC
2019-12-28,129.42,126.94,126.36,1823704.07,233763025.26,128.18,multiply,BTC
2019-12-29,135.93,129.27,128.18,2556094.92,344231138.15,134.67,multiply,BTC
2019-12-30,133.33,129.57,134.67,2689699.45,353560386.98,131.45,multiply,BTC
2019-12-31,133.05,128.23,131.45,2215298.66,285823337.69,129.02,multiply,BTC
2020-01-01,132.94,128.84,129.02,1565121.77,204356870.2,130.57,multiply,BTC
2020-01-02,127.54,125.45,130.57,2263943.03,287644676.75,127.05,multiply,BTC
