date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2011-12-01,3.14,2.929,2.97,63864.09,195016.15,3.06,direct,
2011-12-02,3.138,3.035,3.06,57494.9,178018.0,3.115,direct,
2011-12-03,3.125,2.75,3.115,123022.09,360981.81,2.794,direct,
2011-12-04,2.9,2.61,2.794,95222.47,261745.73,2.828,direct,
2011-12-05,2.93,2.781,2.828,30884.98,88678.38,2.88,direct,
2011-12-06,3.05,2.87,2.88,55599.98,165517.79,3.03,direct,
2011-12-07,3.082,2.932,3.03,58122.19,174201.54,2.991,direct,
2011-12-08,3.006,2.884,2.991,39933.69,117824.45,2.981,direct,
2011-12-09,3.039,2.935,2.981,34385.44,102810.85,2.97,direct,
2011-12-10,3.133,2.935,2.97,74305.72,225642.57,3.05,direct,
2011-12-11,3.38,2.99,3.05,108223.27,346453.23,3.251,direct,
2011-12-12,3.29,3.084,3.251,39900.0,126940.32,3.136,direct,
2011-12-13,3.25,3.136,3.136,32658.54,104930.82,3.25,direct,
2011-12-14,3.25,2.994,3.25,72477.69,225975.05,3.15,direct,
2011-12-15,3.214,3.11,3.15,30094.23,95417.41,3.2,direct,
2011-12-16,3.22,3.15,3.2,29868.63,95114.72,3.2,direct,
2011-12-17,3.23,3.155,3.2,16479.96,52586.17,3.2,direct,
2011-12-18,3.219,3.175,3.2,10793.72,34542.59,3.193,direct,
2011-12-19,3.7,3.189,3.193,139986.97,476965.51,3.52,direct,
2011-12-20,4.5,3.483,3.52,186409.95,739231.72,3.95,direct,
2011-12-21,4.04,3.81,3.95,48793.69,191659.23,3.89,direct,
2011-12-22,3.992,3.509,3.89,57206.32,216558.95,3.89,direct,
2011-12-23,3.95,3.815,3.89,20496.54,80030.54,3.947,direct,
2011-12-24,3.969,3.855,3.947,14933.59,58567.87,3.94,direct,
2011-12-25,4.39,3.781,3.94,80800.44,334511.38,4.225,direct,
2011-12-26,4.313,3.81,4.225,88825.75,358539.93,4.018,direct,
2011-12-27,4.1,3.962,4.018,30159.46,121501.17,4.074,direct,
2011-12-28,4.25,3.99,4.074,33837.22,140029.63,4.186,direct,
2011-12-29,4.33,4.116,4.186,53069.29,223710.01,4.166,direct,
2011-12-30,4.3,4.063,4.166,41068.6,172118.96,4.248,direct,
2011-12-31,4.995,4.2,4.248,129730.72,596240.41,4.722,direct,
2012-01-01,5.5,4.615,4.722,108509.23,553045.14,5.268,direct,
2012-01-02,5.47,4.8,5.268,69150.93,360357.28,5.217,direct,
2012-01-03,5.29,4.65,5.217,125170.25,619170.54,4.881,direct,
2012-01-04,5.7,4.751,4.881,131170.86,688717.86,5.574,direct,
2012-01-05,7.22,5.574,5.574,182328.19,1130623.29,6.948,direct,
2012-01-06,7.21,6.126,6.948,218077.48,1481327.88,6.697,direct,
2012-01-07,7.016,6.38,6.697,48387.58,325053.98,6.81,direct,
2012-01-08,7.2,6.734,6.81,57193.53,403151.44,7.114,direct,
2012-01-09,7.191,5.81,7.114,148406.85,960592.31,6.326,direct,
2012-01-10,6.89,6.001,6.326,110210.25,705056.48,6.362,direct,
2012-01-11,7.138,6.362,6.362,99442.07,677642.84,6.9,direct,
2012-01-12,6.997,6.337,6.9,140116.52,944165.94,6.8,direct,
2012-01-13,6.804,6.4,6.8,60228.77,398312.18,6.41,direct,
2012-01-14,6.95,6.22,6.41,141896.32,935192.51,6.75,direct,
2012-01-15,7.08,6.741,6.75,62233.33,429700.86,7.002,direct,
2012-01-16,7.189,6.511,7.002,122666.57,837413.61,6.683,direct,
2012-01-17,6.95,4.64,6.683,213409.8,1288538.97,5.6,direct,
2012-01-18,6.95,5.1,5.6,226680.97,1354753.44,5.92,direct,
2012-01-19,6.361,5.873,5.92,114820.45,709705.27,6.36,direct,
2012-01-20,6.58,6.258,6.36,66786.48,429803.56,6.49,direct,
2012-01-21,6.548,6.1,6.49,64761.69,407116.4,6.18,direct,
2012-01-22,6.455,6.1,6.18,44890.65,282233.76,6.31,direct,
2012-01-23,6.389,6.212,6.31,17693.05,111630.55,6.356,direct,
2012-01-24,6.394,6.219,6.356,35663.08,224665.59,6.29,direct,
2012-01-25,6.322,5.502,6.29,133115.25,782053.65,5.756,direct,
2012-01-26,5.92,5.3,5.756,123954.11,692624.73,5.34,direct,
2012-01-27,5.51,5.05,5.34,115567.83,611581.18,5.292,direct,
2012-01-28,5.76,5.26,5.292,89708.02,499881.49,5.627,direct,
2012-01-29,5.7,5.328,5.627,46430.45,254457.17,5.382,direct,
2012-01-30,5.6,5.367,5.382,42303.14,233179.7,5.49,direct,
2012-01-31,5.65,5.426,5.49,48296.66,267099.31,5.484,direct,
2012-02-01,6.2,5.468,5.484,115523.96,672632.58,6.076,direct,
2012-02-02,6.199,5.823,6.076,54546.27,328716.58,6.1,direct,
2012-02-03,6.14,5.719,6.1,59279.85,350818.69,5.959,direct,
2012-02-04,5.987,5.84,5.959,20619.6,122071.46,5.873,direct,
2012-02-05,5.885,5.45,5.873,120336.02,683010.86,5.689,direct,
2012-02-06,5.72,5.45,5.689,90258.84,500693.58,5.453,direct,
2012-02-07,5.78,5.45,5.453,72748.36,408854.24,5.69,direct,
2012-02-08,5.849,5.3,5.69,237943.12,1342007.99,5.6,direct,
2012-02-09,5.915,5.5,5.6,89946.12,516915.55,5.83,direct,
2012-02-10,5.985,5.801,5.83,39304.91,230967.96,5.913,direct,
2012-02-11,6.0,5.541,5.913,69711.29,397688.29,5.601,direct,
2012-02-12,5.85,5.43,5.601,81917.16,459004.75,5.515,direct,
2012-02-13,5.72,5.2,5.515,170210.59,909500.32,5.26,direct,
2012-02-14,5.451,4.212,5.26,297572.02,1399443.95,4.463,direct,
2012-02-15,4.88,4.2,4.463,161800.56,741639.35,4.325,direct,
