date,high_price,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-05-01,22.88,21.59,22.73,1929816.28,42585381.91,21.97,direct,
2023-05-02,22.4,21.76,21.97,1310200.69,28972915.43,22.27,direct,
2023-05-03,22.3,21.25,22.27,1728560.62,37563066.09,22.24,direct,
2023-05-04,22.53,21.63,22.24,1275932.05,28165584.11,21.74,direct,
2023-05-05,23.07,21.66,21.74,2098591.65,46964188.54,22.85,direct,
2023-05-06,23.27,21.63,22.85,1641310.48,36824163.55,21.97,direct,
2023-05-07,22.8,21.69,21.97,1444135.14,32133191.65,21.7,direct,
2023-05-08,21.85,20.06,21.7,2754289.26,57885042.91,20.69,direct,
2023-05-09,21.06,20.4,20.69,1170238.48,24205886.44,20.69,direct,
2023-05-10,21.32,19.99,20.69,2069780.53,43034997.18,20.94,direct,
2023-05-11,20.95,19.8,20.94,1571469.04,31817109.46,20.2,direct,
2023-05-12,20.97,19.83,20.2,1961429.09,40004621.46,20.92,direct,
2023-05-13,21.29,20.79,20.92,896741.65,18828252.98,20.85,direct,
2023-05-14,21.26,20.64,20.85,820782.42,17197778.23,20.94,direct,
2023-05-15,21.52,20.62,20.94,1661879.18,35279719.01,20.99,direct,
2023-05-16,21.14,20.44,20.99,1562256.05,32457511.93,20.68,direct,
2023-05-17,21.19,20.43,20.68,1359624.9,28298787.6,21.06,direct,
2023-05-18,21.09,20.1,21.06,1563014.63,32272526.21,20.34,direct,
2023-05-19,20.58,20.24,20.34,598027.59,12203577.97,20.35,direct,
2023-05-20,20.36,20.12,20.35,589006.63,11923047.85,20.28,direct,
2023-05-21,20.39,19.44,20.28,875157.36,17454049.85,19.62,direct,
2023-05-22,20.02,19.31,19.62,1295260.86,25489243.68,19.53,direct,
2023-05-23,20.17,19.42,19.53,1164625.73,23202696.19,20.03,direct,
2023-05-24,20.06,18.78,20.03,1609688.29,31051416.29,19.22,direct,
2023-05-25,19.54,18.8,19.22,941891.4,18163214.76,19.25,direct,
2023-05-26,19.56,19.09,19.25,580973.24,11249226.94,19.36,direct,
2023-05-27,20.53,19.34,19.36,693897.83,13822990.28,20.44,direct,
2023-05-28,21.18,20.31,20.44,1122610.37,23232716.4,20.82,direct,
2023-05-29,20.99,20.28,20.82,971645.92,20052767.19,20.59,direct,
2023-05-30,21.43,20.48,20.59,1940379.13,40908061.48,21.27,direct,
2023-05-31,21.34,20.41,21.27,1220068.9,25266396.22,20.82,direct,
2023-06-01,20.99,20.43,20.82,915884.5,18968372.25,20.51,direct,
2023-06-02,21.37,20.32,20.51,1072349.98,22584893.94,21.26,direct,
2023-06-03,21.36,20.99,21.26,585145.78,12378952.47,21.21,direct,
2023-06-04,22.31,21.05,21.21,1339500.05,29292770.7,21.82,direct,
2023-06-05,22.06,19.23,21.82,3154591.96,64969446.79,20.02,direct,
2023-06-06,20.7,19.26,20.02,2091853.4,41826894.8,20.4,direct,
2023-06-07,20.54,18.53,20.4,2314791.72,45027331.01,18.63,direct,
2023-06-08,19.1,18.26,18.63,907949.52,17007325.0,18.89,direct,
2023-06-09,19.36,17.11,18.89,2121056.34,38653266.03,17.4,direct,
2023-06-10,17.41,13.13,17.4,5812236.49,87734042.11,15.64,direct,
2023-06-11,16.17,15.13,15.64,1411842.79,22042187.49,15.55,direct,
2023-06-12,15.68,14.75,15.55,1420312.63,21542962.86,15.18,direct,
2023-06-13,15.99,14.77,15.18,1422396.31,21634642.46,15.03,direct,
2023-06-14,15.35,14.12,15.03,1261873.28,18714703.42,14.48,direct,
2023-06-15,15.05,14.17,14.48,1283928.79,18794111.23,14.77,direct,
2023-06-16,15.45,14.43,14.77,1447075.02,21834878.39,15.32,direct,
2023-06-17,16.1,15.16,15.32,861853.97,13524308.08,15.65,direct,
2023-06-18,15.84,15.31,15.65,491829.19,7678517.01,15.43,direct,
2023-06-19,16.13,15.36,15.43,733133.44,11503860.1,16.1,direct,
2023-06-20,16.68,15.73,16.1,1517960.76,24582953.16,16.65,direct,
2023-06-21,17.41,16.57,16.65,2236078.72,37898015.32,17.24,direct,
2023-06-22,17.74,16.58,17.24,1315581.03,22524007.25,16.64,direct,
2023-06-23,17.55,16.19,16.64,2379666.35,40268531.07,17.15,direct,
2023-06-24,17.53,16.43,17.15,1235574.01,20935133.45,16.66,direct,
2023-06-25,17.38,16.58,16.66,1147278.85,19569809.93,16.97,direct,
2023-06-26,17.12,15.95,16.97,1436529.07,23801525.98,16.28,direct,
2023-06-27,16.93,16.14,16.28,1294930.16,21477234.38,16.63,direct,
2023-06-28,16.64,15.7,16.63,1747808.88,28247031.46,15.98,direct,
2023-06-29,18.27,15.87,15.98,2625741.97,45742590.16,17.99,direct,
2023-06-30,19.99,17.11,17.99,3056516.32,57111782.57,18.86,direct,
2023-07-01,19.01,17.91,18.86,1014465.05,18636372.45,18.71,direct,
