high_price,low,open,volumefrom,volumeto,close,conversionType
542.26,521.3,528.92,72406.45,38742660.86,537.4,direct
541.55,530.47,537.4,52877.98,28380698.71,537.1,direct
573.72,534.34,537.1,106250.27,59464310.87,567.03,direct
592.68,560.87,567.03,87411.46,50353517.34,571.95,direct
583.64,567.77,571.95,64520.22,37233994.18,574.91,direct
586.73,571.67,574.91,63682.81,37131086.56,583.58,direct
591.32,543.63,583.58,84694.25,49082472.71,575.58,direct
582.44,567.78,575.58,49604.16,28706216.31,580.51,direct
580.71,569.26,580.51,48613.35,28010575.91,574.69,direct
579.26,571.14,574.69,45501.86,26290866.62,577.89,direct
592.61,576.29,577.89,42217.02,24790441.26,591.6,direct
683.85,592.79,591.6,217379.53,139684630.33,666.55,direct
718.24,652.78,666.55,216731.32,149442548.73,700.07,direct
702.52,654.69,700.07,135648.79,92458349.24,685.14,direct
695.07,670.45,685.14,78620.97,53863568.9,690.77,direct
769.73,687.43,690.77,229569.22,169704647.02,761.21,direct
771.89,704.21,761.21,215870.36,160302360.32,743.9,direct
776.04,727.13,743.9,120525.37,91056993.79,753.77,direct
765.1,740.38,753.77,60445.37,45805980.62,761.04,direct
764.6,717.41,761.04,112290.09,83637617.46,733.97,direct
732.23,626.05,733.97,248083.39,166828425.88,667.38,direct
677.8,586.6,667.38,202320.1,129550795.89,590.56,direct
629.55,539.28,590.56,261739.44,154289129.68,620.84,direct
687.39,616.41,620.84,196694.45,128990817.06,656.89,direct
688.1,640.79,656.89,100457.69,67442141.07,663.52,direct
665.19,609.9,663.52,88928.71,56403088.15,625.41,direct
650.34,615.22,625.41,99812.97,63747137.15,644.66,direct
659.27,634.26,644.66,76657.93,49673830.24,644.89,direct
645.91,621.76,644.89,80218.82,50898093.64,636.54,direct
673.04,631.24,636.54,88203.81,58215062.66,670.02,direct
685.11,661.09,670.02,92227.36,62394480.64,674.57,direct
700.46,671.46,674.57,67380.47,46555796.93,698.06,direct
701.49,644.61,698.06,99268.29,66591456.99,661.64,direct
679.03,644.04,661.64,63905.01,42756935.48,675.16,direct
679.19,657.31,675.16,54642.8,36687264.23,663.67,direct
678.39,662.24,663.67,47049.5,31708100.51,672.7,direct
676.19,604.95,672.7,153608.21,97639342.03,635.25,direct
663.43,630.17,635.25,75892.55,49243011.02,662.78,direct
663.49,620.68,662.78,96013.13,62061207.33,651.83,direct
651.98,636.8,651.83,29256.82,18955766.48,647.11,direct
657.47,639.97,647.11,45941.77,29925667.34,646.71,direct
673.19,644.56,646.71,66591.48,44047499.67,670.56,direct
672.02,656.04,670.56,62958.21,41791464.25,661.15,direct
661.88,646.31,661.15,48196.92,31748496.83,657.25,direct
667.46,656.5,657.25,35830.56,23817856.65,664.2,direct
665.41,655.72,664.2,20385.0,13557557.05,660.69,direct
680.94,660.13,660.69,46840.6,31614610.5,676.33,direct
680.42,664.61,676.33,42576.77,28810844.41,670.38,direct
673.24,663.63,670.38,30395.36,20401885.27,671.1,direct
672.29,659.51,671.1,37562.71,25075066.39,664.4,direct
666.51,657.82,664.4,32164.64,21351309.78,664.62,direct
669.44,645.69,664.62,65894.84,43283429.35,651.11,direct
658.17,647.98,651.11,29884.68,19544654.54,655.16,direct
664.21,651.03,655.16,29815.62,19642346.73,659.29,direct
662.51,651.08,659.29,34383.06,22564554.46,654.0,direct
657.76,643.49,654.0,49388.21,32177578.58,654.38,direct
659.08,646.04,654.38,29885.7,19568531.49,654.54,direct
657.96,650.81,654.54,28112.8,18452583.66,654.13,direct
657.4,650.99,654.13,27043.62,17757920.48,655.43,direct
657.55,652.06,655.43,19354.41,12721755.54,654.74,direct
654.92,621.42,654.74,62887.74,39918066.14,621.87,direct
627.89,603.55,621.87,66660.27,41229298.83,607.0,direct
613.75,471.36,607.0,130913.66,75338595.54,513.43,direct
573.06,514.09,513.43,85930.35,47170751.56,566.44,direct
584.89,559.5,566.44,44823.44,25725471.16,576.22,direct
579.97,565.81,576.22,27885.51,15992890.37,574.66,direct
596.68,565.33,574.66,25382.28,14676841.26,586.45,direct
596.01,580.87,586.45,26202.24,15491523.1,590.85,direct
594.24,585.41,590.85,24880.83,14726811.56,589.24,direct
591.2,581.1,589.24,25971.47,15304277.91,585.25,direct
600.52,580.87,585.25,49568.68,29376783.81,590.94,direct
599.15,585.39,590.94,39824.58,23640952.51,587.84,direct
591.14,582.2,587.84,25501.78,15009452.98,587.14,direct
590.07,582.81,587.14,19303.82,11357750.81,584.59,direct
585.8,559.93,584.59,33065.8,18970094.63,569.06,direct
574.97,559.28,569.06,33771.15,19218972.96,566.95,direct
583.38,563.38,566.95,37689.33,21634083.15,580.19,direct
581.1,568.66,580.19,32760.8,18886741.55,572.34,direct
579.53,570.83,572.34,30389.41,17509679.71,573.39,direct
577.86,566.25,573.39,25530.44,14701426.29,574.56,direct
583.5,572.28,574.56,23119.79,13416843.63,582.61,direct
585.32,577.84,582.61,14160.18,8294321.53,580.66,direct
591.9,577.13,580.66,33558.61,19658058.08,587.47,direct
589.87,578.61,587.47,32082.32,18772369.53,583.56,direct
584.47,576.82,583.56,28057.04,16337141.09,579.66,direct
580.71,570.81,579.66,32733.65,18885349.63,577.96,direct
582.73,575.83,577.96,21168.38,12329289.75,579.37,direct
580.41,567.25,579.37,18686.65,10747219.53,570.35,direct
576.32,569.21,570.35,12824.95,7377921.72,574.98,direct
578.61,571.38,574.98,23862.95,13760854.22,574.23,direct
579.94,572.51,574.23,27480.29,15895354.76,577.32,direct
578.25,571.69,577.32,24933.77,14338795.45,573.88,direct
