high_price,low,open,volumefrom,volumeto,close,conversionType
564.07,262.77,573.94,404.38,250331.34,557.39,direct
562.93,541.54,557.39,826.76,469498.62,544.56,direct
695.44,545.42,544.56,1263.06,794976.61,662.18,direct
686.22,645.16,662.18,1365.98,947328.84,661.85,direct
665.97,636.77,661.85,1259.48,855787.67,658.3,direct
661.83,636.22,658.3,2067.16,1367401.19,648.26,direct
655.2,600.31,648.26,2336.74,1498290.21,616.73,direct
625.68,588.58,616.73,2166.01,1335982.88,609.21,direct
637.6,598.51,609.21,1950.45,1209993.27,627.05,direct
633.68,594.7,627.05,2627.73,1648979.94,612.97,direct
619.7,599.92,612.97,2432.39,1520733.14,608.69,direct
640.79,608.2,608.69,3194.67,2022394.16,619.43,direct
636.13,616.06,619.43,3410.64,2168407.82,625.04,direct
631.23,610.61,625.04,4001.32,2514218.73,614.03,direct
628.83,609.18,614.03,3461.06,2168732.02,624.03,direct
627.28,613.17,624.03,3296.37,2055390.73,619.14,direct
622.49,602.74,619.14,3576.51,2227123.89,606.38,direct
611.72,585.66,606.38,3654.27,2234320.09,598.93,direct
607.08,590.14,598.93,3579.25,2164735.67,594.96,direct
598.41,560.35,594.96,4241.08,2471474.64,565.99,direct
587.42,540.22,565.99,3822.85,2173864.98,549.6,direct
569.96,537.16,549.6,3765.57,2078360.18,564.34,direct
564.32,538.63,564.34,4134.15,2286135.32,551.16,direct
572.52,531.27,551.16,3668.42,2024402.74,567.56,direct
569.66,550.43,567.56,3866.46,2172190.32,562.89,direct
575.42,546.26,562.89,3704.69,2087611.57,562.45,direct
567.75,460.45,562.45,3782.96,2010894.71,460.45,direct
514.95,453.75,460.45,4113.87,2022261.85,482.61,direct
494.28,473.78,482.61,4284.5,2087784.21,477.11,direct
479.04,424.03,477.11,3860.41,1769770.42,446.92,direct
473.43,422.49,446.92,4149.05,1850592.76,444.66,direct
487.35,438.03,444.66,3969.98,1845836.41,463.45,direct
480.27,409.25,463.45,4382.38,2004152.9,424.37,direct
448.74,386.67,424.37,4022.93,1708540.89,436.31,direct
456.46,415.51,436.31,2565.03,1127311.11,444.36,direct
461.17,439.37,444.36,1158.02,529964.03,456.63,direct
472.38,446.3,456.63,3591.85,1644846.68,455.69,direct
485.06,447.98,455.69,3954.49,1847982.3,462.38,direct
480.69,457.57,462.38,3906.04,1839605.16,466.56,direct
479.66,451.07,466.56,3881.54,1809262.89,457.34,direct
463.45,384.63,457.34,3647.72,1547153.29,384.63,direct
450.4,355.71,384.63,5162.96,2175242.95,435.14,direct
469.83,428.02,435.14,5188.34,2293511.2,437.65,direct
454.15,409.85,437.65,4972.43,2143146.77,427.6,direct
497.83,420.08,427.6,7624.33,3546258.23,478.38,direct
526.63,466.43,478.38,7999.66,3945871.12,526.43,direct
549.05,496.08,526.43,8059.05,4192651.96,536.95,direct
537.03,486.89,536.95,8003.07,4097576.42,502.0,direct
512.15,472.0,502.0,8359.97,4112826.37,485.52,direct
516.89,473.16,485.52,8375.39,4154929.41,506.02,direct
522.22,488.69,506.02,7684.61,3879198.08,498.51,direct
524.67,490.66,498.51,7351.96,3688692.95,495.16,direct
520.51,483.39,495.16,5681.23,2824567.04,487.91,direct
509.96,482.25,487.91,4743.76,2340457.5,487.3,direct
507.33,477.22,487.3,4227.98,2075376.08,500.29,direct
502.49,438.33,500.29,6445.92,3000226.26,464.49,direct
468.68,448.57,464.49,6894.1,3157540.11,457.87,direct
461.4,437.39,457.87,6960.48,3154922.76,443.18,direct
451.12,420.78,443.18,4543.04,2004954.25,441.92,direct
453.78,430.71,441.92,3721.09,1670352.0,446.12,direct
452.64,430.89,446.12,4084.26,1831533.23,445.63,direct
464.49,444.51,445.63,4198.81,1915772.6,460.13,direct
463.38,442.0,460.13,3377.59,1532239.38,453.67,direct
454.2,429.09,453.67,2576.42,1143291.68,438.65,direct
446.61,428.79,438.65,3373.67,1470650.15,436.05,direct
443.86,426.37,436.05,3042.43,1328247.91,430.87,direct
434.95,420.23,430.87,4184.68,1809731.58,432.19,direct
458.78,423.55,432.19,5031.0,2209759.82,446.55,direct
455.5,439.5,446.55,2543.19,1134338.74,441.11,direct
455.78,438.5,441.11,2266.91,1013830.03,445.45,direct
459.46,441.43,445.45,446.84,210112.72,451.9,direct
455.4,429.02,451.9,1890.97,845213.87,433.23,direct
441.07,430.19,433.23,1386.7,610287.27,438.21,direct
442.27,432.74,438.21,2651.68,1164049.43,433.92,direct
444.28,433.88,433.92,2200.61,978031.93,442.63,direct
450.03,441.47,442.63,2169.07,989003.27,448.1,direct
455.15,441.86,448.1,1758.25,799913.51,453.63,direct
455.94,452.23,453.63,1704.83,776390.65,452.79,direct
454.0,449.04,452.79,1449.47,653912.75,450.14,direct
451.69,441.2,450.14,1351.0,602742.49,443.9,direct
486.23,437.25,443.9,1899.12,883359.54,484.57,direct
495.21,481.73,484.57,1394.82,689104.32,488.84,direct
519.25,485.55,488.84,3124.47,1589075.16,515.36,direct
540.88,515.18,515.36,2763.64,1457339.18,518.09,direct
526.65,510.42,518.09,2857.47,1492790.86,520.46,direct
575.19,520.53,520.46,1873.75,1037758.33,570.44,direct
586.41,564.65,570.44,2958.74,1712997.86,582.01,direct
586.22,555.28,582.01,3353.12,1947436.25,570.1,direct
581.81,562.56,570.1,3569.69,2054559.38,570.84,direct
573.83,557.7,570.84,3734.36,2121556.72,564.42,direct
613.26,564.02,564.42,6205.87,3688564.78,612.35,direct
629.04,604.73,612.35,4409.91,2738340.83,627.91,direct
