high_price,low,open,volumefrom,volumeto,close,conversionType
969.19,927.8,938.85,4364.51,4118865.67,940.42,direct
959.38,934.41,940.42,1583.28,1495327.62,953.31,direct
959.58,931.67,953.31,2790.11,2601784.11,931.71,direct
949.1,900.76,931.71,4608.88,4250751.67,926.64,direct
939.75,890.05,926.64,7558.29,6865987.27,904.52,direct
908.77,800.93,904.52,18599.16,15719958.05,828.87,direct
833.07,651.73,828.87,49906.75,36412212.3,695.65,direct
719.26,632.08,695.65,22876.3,15503790.63,648.78,direct
694.12,622.53,648.78,19884.9,13186251.81,659.57,direct
700.04,500.04,659.57,40130.05,24334044.2,582.63,direct
609.71,550.22,582.63,16725.92,9621820.7,578.96,direct
585.12,511.9,578.96,21301.39,11628634.59,531.13,direct
549.2,451.33,531.13,28942.07,14394464.14,451.44,direct
500.03,302.18,451.44,65819.68,25084223.33,427.68,direct
447.94,310.08,427.68,50617.35,18299075.74,371.07,direct
540.03,220.37,371.07,86180.34,26267622.78,299.8,direct
411.21,263.36,299.8,51439.43,16532226.28,272.28,direct
370.12,248.31,272.28,48878.18,14130126.78,293.95,direct
308.63,257.24,293.95,31501.97,8618299.81,261.53,direct
271.61,109.22,261.53,102183.77,16608347.18,111.92,direct
160.15,91.66,111.92,82590.48,10115923.16,111.56,direct
290.59,96.72,111.56,72170.05,11838225.02,255.59,direct
349.15,220.31,255.59,38549.76,11158706.83,310.17,direct
316.88,131.85,310.17,95118.82,17929284.9,174.0,direct
174.64,102.33,174.0,30426.23,3993023.8,135.78,direct
650.0,522.84,135.78,602.49,383571.24,593.14,direct
629.9,580.5,593.14,497.8,322887.36,596.49,direct
599.0,570.0,596.49,505.86,321170.16,573.94,direct
564.07,262.77,573.94,404.38,250331.34,557.39,direct
562.93,541.54,557.39,826.76,469498.62,544.56,direct
695.44,545.42,544.56,1263.06,794976.61,662.18,direct
686.22,645.16,662.18,1365.98,947328.84,661.85,direct
665.97,636.77,661.85,1259.48,855787.67,658.3,direct
661.83,636.22,658.3,2067.16,1367401.19,648.26,direct
655.2,600.31,648.26,2336.74,1498290.21,616.73,direct
625.68,588.58,616.73,2166.01,1335982.88,609.21,direct
637.6,598.51,609.21,1950.45,1209993.27,627.05,direct
633.68,594.7,627.05,2627.73,1648979.94,612.97,direct
619.7,599.92,612.97,2432.39,1520733.14,608.69,direct
640.79,608.2,608.69,3194.67,2022394.16,619.43,direct
636.13,616.06,619.43,3410.64,2168407.82,625.04,direct
631.23,610.61,625.04,4001.32,2514218.73,614.03,direct
628.83,609.18,614.03,3461.06,2168732.02,624.03,direct
627.28,613.17,624.03,3296.37,2055390.73,619.14,direct
622.49,602.74,619.14,3576.51,2227123.89,606.38,direct
611.72,585.66,606.38,3654.27,2234320.09,598.93,direct
607.08,590.14,598.93,3579.25,2164735.67,594.96,direct
598.41,560.35,594.96,4241.08,2471474.64,565.99,direct
587.42,540.22,565.99,3822.85,2173864.98,549.6,direct
569.96,537.16,549.6,3765.57,2078360.18,564.34,direct
564.32,538.63,564.34,4134.15,2286135.32,551.16,direct
572.52,531.27,551.16,3668.42,2024402.74,567.56,direct
569.66,550.43,567.56,3866.46,2172190.32,562.89,direct
575.42,546.26,562.89,3704.69,2087611.57,562.45,direct
567.75,460.45,562.45,3782.96,2010894.71,460.45,direct
514.95,453.75,460.45,4113.87,2022261.85,482.61,direct
494.28,473.78,482.61,4284.5,2087784.21,477.11,direct
479.04,424.03,477.11,3860.41,1769770.42,446.92,direct
473.43,422.49,446.92,4149.05,1850592.76,444.66,direct
487.35,438.03,444.66,3969.98,1845836.41,463.45,direct
480.27,409.25,463.45,4382.38,2004152.9,424.37,direct
448.74,386.67,424.37,4022.93,1708540.89,436.31,direct
456.46,415.51,436.31,2565.03,1127311.11,444.36,direct
461.17,439.37,444.36,1158.02,529964.03,456.63,direct
472.38,446.3,456.63,3591.85,1644846.68,455.69,direct
485.06,447.98,455.69,3954.49,1847982.3,462.38,direct
480.69,457.57,462.38,3906.04,1839605.16,466.56,direct
479.66,451.07,466.56,3881.54,1809262.89,457.34,direct
463.45,384.63,457.34,3647.72,1547153.29,384.63,direct
450.4,355.71,384.63,5162.96,2175242.95,435.14,direct
469.83,428.02,435.14,5188.34,2293511.2,437.65,direct
454.15,409.85,437.65,4972.43,2143146.77,427.6,direct
497.83,420.08,427.6,7624.33,3546258.23,478.38,direct
526.63,466.43,478.38,7999.66,3945871.12,526.43,direct
549.05,496.08,526.43,8059.05,4192651.96,536.95,direct
537.03,486.89,536.95,8003.07,4097576.42,502.0,direct
512.15,472.0,502.0,8359.97,4112826.37,485.52,direct
516.89,473.16,485.52,8375.39,4154929.41,506.02,direct
522.22,488.69,506.02,7684.61,3879198.08,498.51,direct
524.67,490.66,498.51,7351.96,3688692.95,495.16,direct
520.51,483.39,495.16,5681.23,2824567.04,487.91,direct
509.96,482.25,487.91,4743.76,2340457.5,487.3,direct
507.33,477.22,487.3,4227.98,2075376.08,500.29,direct
502.49,438.33,500.29,6445.92,3000226.26,464.49,direct
468.68,448.57,464.49,6894.1,3157540.11,457.87,direct
461.4,437.39,457.87,6960.48,3154922.76,443.18,direct
451.12,420.78,443.18,4543.04,2004954.25,441.92,direct
453.78,430.71,441.92,3721.09,1670352.0,446.12,direct
452.64,430.89,446.12,4084.26,1831533.23,445.63,direct
